DeviceSerialNumber,SensorType,Unit,Status,Date,Value
FH21101007,Velocity,m/s,Good,2021-12-01T2:50,1
FH21101007,pH,pH,Good,2021-12-01T2:50,6
FH21101007,TVOC,ppm,Good,2021-12-01T2:50,44
FH21101007,Humidity,%,Good,2021-12-01T2:50,73
FH21101006,pH,pH,Good,2021-12-01T2:50,5
FH21101006,Light,Lux,Good,2021-12-01T2:50,572
FH21101008,Velocity,m/s,Good,2021-12-01T2:50,1
FH21101008,pH,pH,Good,2021-12-01T2:50,8
CA21101007-01,Light,Lux,Good,2021-12-01T2:50,442
CA21101007-01,TVOC,ppm,Good,2021-12-01T2:50,52
FH21101008,TVOC,ppm,Good,2021-12-01T2:50,61
FH21101008,Light,Lux,Good,2021-12-01T2:50,522
CA21101007-01,Humidity,%,Good,2021-12-01T2:50,72
CA21101007-01,Temperature,oC,Good,2021-12-01T2:50,25
CA21101007-01,Velocity,m/s,Good,2021-12-01T2:50,1
CA21101007-01,pH,pH,Good,2021-12-01T2:50,6
CA21101008-02,Light,Lux,Good,2021-12-01T2:50,439
CA21101008-02,pH,pH,Good,2021-12-01T2:50,5
CA21101008-02,TVOC,ppm,Good,2021-12-01T2:50,32
CA21101009-03,Velocity,m/s,Good,2021-12-01T2:50,0
CA21101009-03,TVOC,ppm,Good,2021-12-01T2:50,44
CA21101009-03,Temperature,oC,Good,2021-12-01T2:50,26
CA21101008-02,Humidity,%,Good,2021-12-01T2:50,73
CA21101008-02,Velocity,m/s,Good,2021-12-01T2:50,1
CA21101009-03,Humidity,%,Good,2021-12-01T2:50,71
CA21101008-02,Temperature,oC,Good,2021-12-01T2:50,26
CA21101011-05,Temperature,oC,Good,2021-12-01T2:50,25
CA21101009-03,pH,pH,Good,2021-12-01T2:50,8
CA21101010-04,Humidity,%,Good,2021-12-01T2:50,73
CA21101010-04,Velocity,m/s,Good,2021-12-01T2:50,0
CA21101010-04,pH,pH,Good,2021-12-01T2:50,6
CA21101010-04,TVOC,ppm,Good,2021-12-01T2:50,24
CA21101010-04,Temperature,oC,Good,2021-12-01T2:50,26
CA21101010-04,Light,Lux,Good,2021-12-01T2:50,381
CA21101009-03,Light,Lux,Good,2021-12-01T2:50,363
CA21101011-05,Humidity,%,Good,2021-12-01T2:50,73
CA21101012-06,TVOC,ppm,Good,2021-12-01T2:50,36
CA21101011-05,TVOC,ppm,Good,2021-12-01T2:50,40
CA21101011-05,Velocity,m/s,Good,2021-12-01T2:50,0
CA21101012-06,Temperature,oC,Good,2021-12-01T2:50,26
CA21101012-06,Humidity,%,Good,2021-12-01T2:50,73
CA21101012-06,Light,Lux,Good,2021-12-01T2:50,495
CA21101011-05,pH,pH,Good,2021-12-01T2:50,7
CA21101012-06,pH,pH,Good,2021-12-01T2:50,5
CA21101011-05,Light,Lux,Good,2021-12-01T2:50,542
CA21101012-06,Velocity,m/s,Good,2021-12-01T2:50,1
FH21101005,pH,pH,Good,2021-12-01T2:55,7
FH21101005,Humidity,%,Good,2021-12-01T2:55,68
FH21101006,TVOC,ppm,Good,2021-12-01T2:55,27
FH21101005,TVOC,ppm,Good,2021-12-01T2:55,50
FH21101005,Velocity,m/s,Good,2021-12-01T2:55,0
FH21101006,Temperature,oC,Good,2021-12-01T2:55,26
FH21101006,Velocity,m/s,Good,2021-12-01T2:55,0
FH21101005,Temperature,oC,Good,2021-12-01T2:55,26
FH21101005,Light,Lux,Good,2021-12-01T2:55,346
FH21101006,Humidity,%,Good,2021-12-01T2:55,75
FH21101007,Temperature,oC,Good,2021-12-01T2:55,27
FH21101007,TVOC,ppm,Good,2021-12-01T2:55,56
FH21101007,Velocity,m/s,Good,2021-12-01T2:55,0
FH21101007,Humidity,%,Good,2021-12-01T2:55,74
FH21101008,Temperature,oC,Good,2021-12-01T2:55,27
FH21101008,Humidity,%,Good,2021-12-01T2:55,73
FH21101006,Light,Lux,Good,2021-12-01T2:55,301
FH21101006,pH,pH,Good,2021-12-01T2:55,7
FH21101007,Light,Lux,Good,2021-12-01T2:55,506
FH21101007,pH,pH,Good,2021-12-01T2:55,7
FH21101008,pH,pH,Good,2021-12-01T2:55,7
CA21101007-01,pH,pH,Good,2021-12-01T2:55,7
FH21101008,Light,Lux,Good,2021-12-01T2:55,542
CA21101007-01,Humidity,%,Good,2021-12-01T2:55,72
CA21101007-01,Velocity,m/s,Good,2021-12-01T2:55,1
CA21101007-01,Light,Lux,Good,2021-12-01T2:55,461
FH21101008,Velocity,m/s,Good,2021-12-01T2:55,0
CA21101007-01,Temperature,oC,Good,2021-12-01T2:55,25
FH21101008,TVOC,ppm,Good,2021-12-01T2:55,55
CA21101007-01,TVOC,ppm,Good,2021-12-01T2:55,40
CA21101008-02,Temperature,oC,Good,2021-12-01T2:55,25
CA21101008-02,TVOC,ppm,Good,2021-12-01T2:55,35
CA21101009-03,Temperature,oC,Good,2021-12-01T2:55,27
CA21101009-03,Velocity,m/s,Good,2021-12-01T2:55,1
CA21101008-02,Humidity,%,Good,2021-12-01T2:55,70
CA21101009-03,Humidity,%,Good,2021-12-01T2:55,69
CA21101008-02,Light,Lux,Good,2021-12-01T2:55,566
CA21101009-03,TVOC,ppm,Good,2021-12-01T2:55,28
CA21101010-04,pH,pH,Good,2021-12-01T2:55,6
CA21101009-03,pH,pH,Good,2021-12-01T2:55,6
CA21101010-04,Humidity,%,Good,2021-12-01T2:55,70
CA21101010-04,Light,Lux,Good,2021-12-01T2:55,351
CA21101009-03,Light,Lux,Good,2021-12-01T2:55,595
CA21101010-04,Temperature,oC,Good,2021-12-01T2:55,26
CA21101010-04,TVOC,ppm,Good,2021-12-01T2:55,56
CA21101008-02,Velocity,m/s,Good,2021-12-01T2:55,1
CA21101010-04,Velocity,m/s,Good,2021-12-01T2:55,1
CA21101008-02,pH,pH,Good,2021-12-01T2:55,7
CA21101011-05,Humidity,%,Good,2021-12-01T2:55,72
CA21101011-05,TVOC,ppm,Good,2021-12-01T2:55,24
CA21101012-06,Temperature,oC,Good,2021-12-01T2:55,26
CA21101011-05,pH,pH,Good,2021-12-01T2:55,6
CA21101011-05,Velocity,m/s,Good,2021-12-01T2:55,1
CA21101011-05,Light,Lux,Good,2021-12-01T2:55,502
CA21101011-05,Temperature,oC,Good,2021-12-01T2:55,26
CA21101012-06,Humidity,%,Good,2021-12-01T2:55,72
CA21101012-06,Velocity,m/s,Good,2021-12-01T2:55,0
CA21101012-06,TVOC,ppm,Good,2021-12-01T2:55,28
CA21101012-06,Light,Lux,Good,2021-12-01T2:55,532
CA21101012-06,pH,pH,Good,2021-12-01T2:55,6
FH21101005,TVOC,ppm,Good,2021-12-01T3:00,53
FH21101005,Velocity,m/s,Good,2021-12-01T3:00,0
FH21101006,Temperature,oC,Good,2021-12-01T3:00,26
FH21101005,Humidity,%,Good,2021-12-01T3:00,70
FH21101006,TVOC,ppm,Good,2021-12-01T3:00,46
FH21101006,Humidity,%,Good,2021-12-01T3:00,69
FH21101005,Light,Lux,Good,2021-12-01T3:00,523
FH21101005,pH,pH,Good,2021-12-01T3:00,6
FH21101005,Temperature,oC,Good,2021-12-01T3:00,26
FH21101006,Velocity,m/s,Good,2021-12-01T3:00,0
FH21101007,Light,Lux,Good,2021-12-01T3:00,449
FH21101007,Humidity,%,Good,2021-12-01T3:00,69
FH21101008,Temperature,oC,Good,2021-12-01T3:00,26
FH21101007,Temperature,oC,Good,2021-12-01T3:00,27
FH21101007,TVOC,ppm,Good,2021-12-01T3:00,55
FH21101006,pH,pH,Good,2021-12-01T3:00,6
FH21101007,Velocity,m/s,Good,2021-12-01T3:00,1
FH21101007,pH,pH,Good,2021-12-01T3:00,8
FH21101008,Humidity,%,Good,2021-12-01T3:00,70
FH21101006,Light,Lux,Good,2021-12-01T3:00,316
FH21101008,Light,Lux,Good,2021-12-01T3:00,568
FH21101008,TVOC,ppm,Good,2021-12-01T3:00,43
FH21101008,Velocity,m/s,Good,2021-12-01T3:00,0
CA21101007-01,TVOC,ppm,Good,2021-12-01T3:00,41
CA21101007-01,Temperature,oC,Good,2021-12-01T3:00,25
CA21101007-01,Light,Lux,Good,2021-12-01T3:00,428
CA21101007-01,pH,pH,Good,2021-12-01T3:00,6
FH21101008,pH,pH,Good,2021-12-01T3:00,7
CA21101007-01,Humidity,%,Good,2021-12-01T3:00,70
CA21101007-01,Velocity,m/s,Good,2021-12-01T3:00,1
CA21101009-03,Humidity,%,Good,2021-12-01T3:00,74
CA21101009-03,Temperature,oC,Good,2021-12-01T3:00,27
CA21101008-02,Humidity,%,Good,2021-12-01T3:00,69
CA21101008-02,TVOC,ppm,Good,2021-12-01T3:00,43
CA21101008-02,Temperature,oC,Good,2021-12-01T3:00,26
CA21101008-02,pH,pH,Good,2021-12-01T3:00,7
CA21101009-03,TVOC,ppm,Good,2021-12-01T3:00,54
CA21101008-02,Velocity,m/s,Good,2021-12-01T3:00,0
CA21101008-02,Light,Lux,Good,2021-12-01T3:00,503
CA21101009-03,Velocity,m/s,Good,2021-12-01T3:00,0
CA21101010-04,Light,Lux,Good,2021-12-01T3:00,576
CA21101010-04,Humidity,%,Good,2021-12-01T3:00,72
CA21101009-03,Light,Lux,Good,2021-12-01T3:00,538
CA21101009-03,pH,pH,Good,2021-12-01T3:00,7
CA21101011-05,Humidity,%,Good,2021-12-01T3:00,75
CA21101010-04,pH,pH,Good,2021-12-01T3:00,5
CA21101010-04,TVOC,ppm,Good,2021-12-01T3:00,41
CA21101010-04,Temperature,oC,Good,2021-12-01T3:00,26
CA21101010-04,Velocity,m/s,Good,2021-12-01T3:00,1
CA21101011-05,Temperature,oC,Good,2021-12-01T3:00,25
CA21101011-05,Light,Lux,Good,2021-12-01T3:00,516
CA21101012-06,TVOC,ppm,Good,2021-12-01T3:00,43
CA21101011-05,Velocity,m/s,Good,2021-12-01T3:00,0
CA21101012-06,Temperature,oC,Good,2021-12-01T3:00,26
CA21101011-05,TVOC,ppm,Good,2021-12-01T3:00,27
CA21101012-06,Humidity,%,Good,2021-12-01T3:00,71
CA21101012-06,pH,pH,Good,2021-12-01T3:00,7
CA21101012-06,Velocity,m/s,Good,2021-12-01T3:00,1
CA21101011-05,pH,pH,Good,2021-12-01T3:00,6
CA21101012-06,Light,Lux,Good,2021-12-01T3:00,350
FH21101005,Light,Lux,Good,2021-12-01T3:05,494
FH21101005,TVOC,ppm,Good,2021-12-01T3:05,36
FH21101005,Velocity,m/s,Good,2021-12-01T3:05,1
FH21101006,TVOC,ppm,Good,2021-12-01T3:05,32
FH21101006,Humidity,%,Good,2021-12-01T3:05,74
FH21101005,pH,pH,Good,2021-12-01T3:05,5
FH21101005,Temperature,oC,Good,2021-12-01T3:05,26
FH21101005,Humidity,%,Good,2021-12-01T3:05,74
FH21101006,Temperature,oC,Good,2021-12-01T3:05,25
FH21101006,Velocity,m/s,Good,2021-12-01T3:05,1
FH21101007,Velocity,m/s,Good,2021-12-01T3:05,1
FH21101007,Temperature,oC,Good,2021-12-01T3:05,26
FH21101007,pH,pH,Good,2021-12-01T3:05,7
FH21101006,Light,Lux,Good,2021-12-01T3:05,357
FH21101007,Light,Lux,Good,2021-12-01T3:05,457
FH21101007,Humidity,%,Good,2021-12-01T3:05,69
FH21101006,pH,pH,Good,2021-12-01T3:05,6
FH21101008,Temperature,oC,Good,2021-12-01T3:05,26
FH21101007,TVOC,ppm,Good,2021-12-01T3:05,39
FH21101008,Humidity,%,Good,2021-12-01T3:05,69
FH21101008,TVOC,ppm,Good,2021-12-01T3:05,57
FH21101008,Light,Lux,Good,2021-12-01T3:05,333
FH21101008,Velocity,m/s,Good,2021-12-01T3:05,1
CA21101007-01,Light,Lux,Good,2021-12-01T3:05,501
FH21101008,pH,pH,Good,2021-12-01T3:05,6
CA21101007-01,Humidity,%,Good,2021-12-01T3:05,72
CA21101007-01,Velocity,m/s,Good,2021-12-01T3:05,1
CA21101007-01,pH,pH,Good,2021-12-01T3:05,6
CA21101007-01,TVOC,ppm,Good,2021-12-01T3:05,45
CA21101007-01,Temperature,oC,Good,2021-12-01T3:05,25
CA21101009-03,Velocity,m/s,Good,2021-12-01T3:05,1
CA21101008-02,Humidity,%,Good,2021-12-01T3:05,73
CA21101008-02,TVOC,ppm,Good,2021-12-01T3:05,31
CA21101008-02,Light,Lux,Good,2021-12-01T3:05,351
CA21101008-02,pH,pH,Good,2021-12-01T3:05,7
CA21101009-03,Temperature,oC,Good,2021-12-01T3:05,25
CA21101009-03,TVOC,ppm,Good,2021-12-01T3:05,32
CA21101009-03,Humidity,%,Good,2021-12-01T3:05,73
CA21101008-02,Velocity,m/s,Good,2021-12-01T3:05,0
CA21101008-02,Temperature,oC,Good,2021-12-01T3:05,25
CA21101010-04,Humidity,%,Good,2021-12-01T3:05,72
CA21101010-04,Light,Lux,Good,2021-12-01T3:05,397
CA21101010-04,Velocity,m/s,Good,2021-12-01T3:05,1
CA21101010-04,pH,pH,Good,2021-12-01T3:05,7
CA21101011-05,Temperature,oC,Good,2021-12-01T3:05,25
CA21101011-05,Humidity,%,Good,2021-12-01T3:05,71
CA21101010-04,Temperature,oC,Good,2021-12-01T3:05,25
CA21101009-03,pH,pH,Good,2021-12-01T3:05,8
CA21101010-04,TVOC,ppm,Good,2021-12-01T3:05,55
CA21101009-03,Light,Lux,Good,2021-12-01T3:05,508
CA21101012-06,Velocity,m/s,Good,2021-12-01T3:05,1
CA21101011-05,TVOC,ppm,Good,2021-12-01T3:05,58
CA21101012-06,TVOC,ppm,Good,2021-12-01T3:05,40
CA21101011-05,Light,Lux,Good,2021-12-01T3:05,403
CA21101012-06,Temperature,oC,Good,2021-12-01T3:05,26
CA21101012-06,Light,Lux,Good,2021-12-01T3:05,472
CA21101011-05,Velocity,m/s,Good,2021-12-01T3:05,1
CA21101012-06,pH,pH,Good,2021-12-01T3:05,7
CA21101012-06,Humidity,%,Good,2021-12-01T3:05,73
CA21101011-05,pH,pH,Good,2021-12-01T3:05,6
FH21101005,Light,Lux,Good,2021-12-01T3:10,533
FH21101005,Humidity,%,Good,2021-12-01T3:10,72
FH21101006,TVOC,ppm,Good,2021-12-01T3:10,56
FH21101005,pH,pH,Good,2021-12-01T3:10,7
FH21101006,Velocity,m/s,Good,2021-12-01T3:10,0
FH21101005,Velocity,m/s,Good,2021-12-01T3:10,0
FH21101006,Humidity,%,Good,2021-12-01T3:10,72
FH21101005,TVOC,ppm,Good,2021-12-01T3:10,34
FH21101006,Temperature,oC,Good,2021-12-01T3:10,26
FH21101005,Temperature,oC,Good,2021-12-01T3:10,27
FH21101007,Velocity,m/s,Good,2021-12-01T3:10,0
FH21101006,Light,Lux,Good,2021-12-01T3:10,350
FH21101006,pH,pH,Good,2021-12-01T3:10,8
FH21101007,Humidity,%,Good,2021-12-01T3:10,72
FH21101007,Temperature,oC,Good,2021-12-01T3:10,25
FH21101007,TVOC,ppm,Good,2021-12-01T3:10,54
FH21101008,Temperature,oC,Good,2021-12-01T3:10,26
FH21101008,Humidity,%,Good,2021-12-01T3:10,70
FH21101007,Light,Lux,Good,2021-12-01T3:10,508
FH21101007,pH,pH,Good,2021-12-01T3:10,7
CA21101007-01,Humidity,%,Good,2021-12-01T3:10,69
FH21101008,Light,Lux,Good,2021-12-01T3:10,436
FH21101008,Velocity,m/s,Good,2021-12-01T3:10,0
CA21101007-01,pH,pH,Good,2021-12-01T3:10,6
FH21101008,pH,pH,Good,2021-12-01T3:10,6
CA21101007-01,Temperature,oC,Good,2021-12-01T3:10,26
CA21101007-01,Light,Lux,Good,2021-12-01T3:10,590
CA21101007-01,Velocity,m/s,Good,2021-12-01T3:10,1
FH21101008,TVOC,ppm,Good,2021-12-01T3:10,49
CA21101007-01,TVOC,ppm,Good,2021-12-01T3:10,53
CA21101008-02,Humidity,%,Good,2021-12-01T3:10,73
CA21101008-02,Light,Lux,Good,2021-12-01T3:10,381
CA21101009-03,TVOC,ppm,Good,2021-12-01T3:10,35
CA21101008-02,pH,pH,Good,2021-12-01T3:10,8
CA21101008-02,Velocity,m/s,Good,2021-12-01T3:10,1
CA21101008-02,TVOC,ppm,Good,2021-12-01T3:10,53
CA21101008-02,Temperature,oC,Good,2021-12-01T3:10,26
CA21101009-03,Temperature,oC,Good,2021-12-01T3:10,27
CA21101009-03,Velocity,m/s,Good,2021-12-01T3:10,0
CA21101009-03,Humidity,%,Good,2021-12-01T3:10,72
CA21101011-05,Temperature,oC,Good,2021-12-01T3:10,25
CA21101009-03,pH,pH,Good,2021-12-01T3:10,7
CA21101009-03,Light,Lux,Good,2021-12-01T3:10,589
CA21101011-05,Humidity,%,Good,2021-12-01T3:10,69
CA21101010-04,Humidity,%,Good,2021-12-01T3:10,72
CA21101010-04,Velocity,m/s,Good,2021-12-01T3:10,1
CA21101010-04,Light,Lux,Good,2021-12-01T3:10,366
CA21101010-04,Temperature,oC,Good,2021-12-01T3:10,27
CA21101010-04,TVOC,ppm,Good,2021-12-01T3:10,49
CA21101010-04,pH,pH,Good,2021-12-01T3:10,6
CA21101011-05,Light,Lux,Good,2021-12-01T3:10,391
CA21101012-06,TVOC,ppm,Good,2021-12-01T3:10,39
CA21101011-05,pH,pH,Good,2021-12-01T3:10,5
CA21101012-06,Velocity,m/s,Good,2021-12-01T3:10,0
CA21101012-06,pH,pH,Good,2021-12-01T3:10,6
CA21101012-06,Humidity,%,Good,2021-12-01T3:10,70
CA21101011-05,Velocity,m/s,Good,2021-12-01T3:10,0
CA21101012-06,Temperature,oC,Good,2021-12-01T3:10,26
CA21101011-05,TVOC,ppm,Good,2021-12-01T3:10,59
CA21101012-06,Light,Lux,Good,2021-12-01T3:10,509
FH21101005,Humidity,%,Good,2021-12-01T3:15,69
FH21101005,Light,Lux,Good,2021-12-01T3:15,383
FH21101006,Humidity,%,Good,2021-12-01T3:15,72
FH21101005,TVOC,ppm,Good,2021-12-01T3:15,51
FH21101006,Temperature,oC,Good,2021-12-01T3:15,25
FH21101005,pH,pH,Good,2021-12-01T3:15,5
FH21101006,Velocity,m/s,Good,2021-12-01T3:15,0
FH21101005,Temperature,oC,Good,2021-12-01T3:15,27
FH21101006,TVOC,ppm,Good,2021-12-01T3:15,61
FH21101005,Velocity,m/s,Good,2021-12-01T3:15,0
FH21101007,pH,pH,Good,2021-12-01T3:15,5
FH21101007,TVOC,ppm,Good,2021-12-01T3:15,49
FH21101007,Velocity,m/s,Good,2021-12-01T3:15,0
FH21101008,Humidity,%,Good,2021-12-01T3:15,74
FH21101006,Light,Lux,Good,2021-12-01T3:15,533
FH21101007,Light,Lux,Good,2021-12-01T3:15,315
FH21101006,pH,pH,Good,2021-12-01T3:15,7
FH21101007,Humidity,%,Good,2021-12-01T3:15,69
FH21101007,Temperature,oC,Good,2021-12-01T3:15,27
FH21101008,Temperature,oC,Good,2021-12-01T3:15,25
CA21101007-01,TVOC,ppm,Good,2021-12-01T3:15,61
CA21101007-01,Light,Lux,Good,2021-12-01T3:15,467
FH21101008,Light,Lux,Good,2021-12-01T3:15,581
FH21101008,TVOC,ppm,Good,2021-12-01T3:15,56
FH21101008,pH,pH,Good,2021-12-01T3:15,7
CA21101007-01,Humidity,%,Good,2021-12-01T3:15,74
FH21101008,Velocity,m/s,Good,2021-12-01T3:15,0
CA21101007-01,Temperature,oC,Good,2021-12-01T3:15,26
CA21101007-01,Velocity,m/s,Good,2021-12-01T3:15,1
CA21101007-01,pH,pH,Good,2021-12-01T3:15,8
CA21101008-02,pH,pH,Good,2021-12-01T3:15,6
CA21101008-02,Temperature,oC,Good,2021-12-01T3:15,27
CA21101008-02,Humidity,%,Good,2021-12-01T3:15,70
CA21101009-03,Temperature,oC,Good,2021-12-01T3:15,26
CA21101009-03,TVOC,ppm,Good,2021-12-01T3:15,39
CA21101009-03,Velocity,m/s,Good,2021-12-01T3:15,1
CA21101008-02,Light,Lux,Good,2021-12-01T3:15,428
CA21101009-03,Humidity,%,Good,2021-12-01T3:15,71
CA21101008-02,TVOC,ppm,Good,2021-12-01T3:15,34
CA21101008-02,Velocity,m/s,Good,2021-12-01T3:15,0
CA21101009-03,pH,pH,Good,2021-12-01T3:15,8
CA21101009-03,Light,Lux,Good,2021-12-01T3:15,570
CA21101011-05,Temperature,oC,Good,2021-12-01T3:15,26
CA21101010-04,Humidity,%,Good,2021-12-01T3:15,70
CA21101010-04,Velocity,m/s,Good,2021-12-01T3:15,0
CA21101010-04,pH,pH,Good,2021-12-01T3:15,6
CA21101011-05,Humidity,%,Good,2021-12-01T3:15,71
CA21101010-04,Temperature,oC,Good,2021-12-01T3:15,25
CA21101010-04,TVOC,ppm,Good,2021-12-01T3:15,27
CA21101010-04,Light,Lux,Good,2021-12-01T3:15,368
CA21101011-05,Velocity,m/s,Good,2021-12-01T3:15,0
CA21101011-05,Light,Lux,Good,2021-12-01T3:15,478
CA21101011-05,TVOC,ppm,Good,2021-12-01T3:15,50
CA21101011-05,pH,pH,Good,2021-12-01T3:15,7
CA21101012-06,TVOC,ppm,Good,2021-12-01T3:15,39
CA21101012-06,Light,Lux,Good,2021-12-01T3:15,589
CA21101012-06,Velocity,m/s,Good,2021-12-01T3:15,0
CA21101012-06,Humidity,%,Good,2021-12-01T3:15,71
CA21101012-06,pH,pH,Good,2021-12-01T3:15,7
CA21101012-06,Temperature,oC,Good,2021-12-01T3:15,26
FH21101005,Velocity,m/s,Good,2021-12-01T3:20,0
FH21101005,Temperature,oC,Good,2021-12-01T3:20,26
FH21101005,Light,Lux,Good,2021-12-01T3:20,512
FH21101006,TVOC,ppm,Good,2021-12-01T3:20,45
FH21101006,Velocity,m/s,Good,2021-12-01T3:20,0
FH21101006,Temperature,oC,Good,2021-12-01T3:20,26
FH21101005,Humidity,%,Good,2021-12-01T3:20,73
FH21101005,pH,pH,Good,2021-12-01T3:20,7
FH21101005,TVOC,ppm,Good,2021-12-01T3:20,41
FH21101006,Humidity,%,Good,2021-12-01T3:20,68
FH21101007,Light,Lux,Good,2021-12-01T3:20,593
FH21101008,Temperature,oC,Good,2021-12-01T3:20,27
FH21101006,pH,pH,Good,2021-12-01T3:20,6
FH21101007,Humidity,%,Good,2021-12-01T3:20,69
FH21101007,Velocity,m/s,Good,2021-12-01T3:20,0
FH21101007,Temperature,oC,Good,2021-12-01T3:20,26
FH21101006,Light,Lux,Good,2021-12-01T3:20,382
FH21101008,Humidity,%,Good,2021-12-01T3:20,74
FH21101007,pH,pH,Good,2021-12-01T3:20,7
FH21101007,TVOC,ppm,Good,2021-12-01T3:20,45
FH21101008,Light,Lux,Good,2021-12-01T3:20,478
CA21101007-01,Temperature,oC,Good,2021-12-01T3:20,27
CA21101007-01,Velocity,m/s,Good,2021-12-01T3:20,1
FH21101008,pH,pH,Good,2021-12-01T3:20,6
CA21101007-01,TVOC,ppm,Good,2021-12-01T3:20,50
FH21101008,TVOC,ppm,Good,2021-12-01T3:20,40
CA21101007-01,pH,pH,Good,2021-12-01T3:20,6
FH21101008,Velocity,m/s,Good,2021-12-01T3:20,0
CA21101007-01,Humidity,%,Good,2021-12-01T3:20,73
CA21101007-01,Light,Lux,Good,2021-12-01T3:20,575
CA21101008-02,Humidity,%,Good,2021-12-01T3:20,68
CA21101008-02,TVOC,ppm,Good,2021-12-01T3:20,52
CA21101008-02,Light,Lux,Good,2021-12-01T3:20,587
CA21101009-03,Humidity,%,Good,2021-12-01T3:20,69
CA21101009-03,Velocity,m/s,Good,2021-12-01T3:20,0
CA21101009-03,TVOC,ppm,Good,2021-12-01T3:20,28
CA21101008-02,Velocity,m/s,Good,2021-12-01T3:20,0
CA21101008-02,Temperature,oC,Good,2021-12-01T3:20,26
CA21101008-02,pH,pH,Good,2021-12-01T3:20,6
CA21101010-04,Light,Lux,Good,2021-12-01T3:20,598
CA21101009-03,Temperature,oC,Good,2021-12-01T3:20,25
CA21101010-04,TVOC,ppm,Good,2021-12-01T3:20,51
CA21101010-04,pH,pH,Good,2021-12-01T3:20,6
CA21101010-04,Humidity,%,Good,2021-12-01T3:20,75
CA21101009-03,Light,Lux,Good,2021-12-01T3:20,562
CA21101011-05,Temperature,oC,Good,2021-12-01T3:20,25
CA21101010-04,Temperature,oC,Good,2021-12-01T3:20,27
CA21101011-05,Humidity,%,Good,2021-12-01T3:20,71
CA21101009-03,pH,pH,Good,2021-12-01T3:20,8
CA21101010-04,Velocity,m/s,Good,2021-12-01T3:20,0
CA21101012-06,pH,pH,Good,2021-12-01T3:20,7
CA21101012-06,Temperature,oC,Good,2021-12-01T3:20,26
CA21101012-06,Humidity,%,Good,2021-12-01T3:20,70
CA21101011-05,Light,Lux,Good,2021-12-01T3:20,448
CA21101012-06,TVOC,ppm,Good,2021-12-01T3:20,37
CA21101011-05,TVOC,ppm,Good,2021-12-01T3:20,45
CA21101011-05,Velocity,m/s,Good,2021-12-01T3:20,0
CA21101011-05,pH,pH,Good,2021-12-01T3:20,6
CA21101012-06,Velocity,m/s,Good,2021-12-01T3:20,1
CA21101012-06,Light,Lux,Good,2021-12-01T3:20,449
FH21101006,Temperature,oC,Good,2021-12-01T3:25,26
FH21101006,Velocity,m/s,Good,2021-12-01T3:25,0
FH21101005,Velocity,m/s,Good,2021-12-01T3:25,0
FH21101005,Light,Lux,Good,2021-12-01T3:25,316
FH21101005,pH,pH,Good,2021-12-01T3:25,7
FH21101006,TVOC,ppm,Good,2021-12-01T3:25,33
FH21101006,Humidity,%,Good,2021-12-01T3:25,69
FH21101005,TVOC,ppm,Good,2021-12-01T3:25,51
FH21101005,Temperature,oC,Good,2021-12-01T3:25,27
FH21101005,Humidity,%,Good,2021-12-01T3:25,74
FH21101008,Humidity,%,Good,2021-12-01T3:25,69
FH21101006,Light,Lux,Good,2021-12-01T3:25,599
FH21101006,pH,pH,Good,2021-12-01T3:25,8
FH21101007,Temperature,oC,Good,2021-12-01T3:25,26
FH21101007,Humidity,%,Good,2021-12-01T3:25,72
FH21101007,TVOC,ppm,Good,2021-12-01T3:25,40
FH21101007,pH,pH,Good,2021-12-01T3:25,7
FH21101008,Temperature,oC,Good,2021-12-01T3:25,26
FH21101007,Light,Lux,Good,2021-12-01T3:25,478
FH21101007,Velocity,m/s,Good,2021-12-01T3:25,0
CA21101007-01,Humidity,%,Good,2021-12-01T3:25,71
CA21101007-01,Light,Lux,Good,2021-12-01T3:25,464
FH21101008,Velocity,m/s,Good,2021-12-01T3:25,1
CA21101007-01,Temperature,oC,Good,2021-12-01T3:25,26
FH21101008,Light,Lux,Good,2021-12-01T3:25,536
FH21101008,TVOC,ppm,Good,2021-12-01T3:25,50
CA21101007-01,TVOC,ppm,Good,2021-12-01T3:25,52
FH21101008,pH,pH,Good,2021-12-01T3:25,7
CA21101007-01,Velocity,m/s,Good,2021-12-01T3:25,0
CA21101007-01,pH,pH,Good,2021-12-01T3:25,7
CA21101008-02,pH,pH,Good,2021-12-01T3:25,6
CA21101008-02,TVOC,ppm,Good,2021-12-01T3:25,31
CA21101008-02,Humidity,%,Good,2021-12-01T3:25,69
CA21101008-02,Temperature,oC,Good,2021-12-01T3:25,26
CA21101008-02,Light,Lux,Good,2021-12-01T3:25,566
CA21101009-03,TVOC,ppm,Good,2021-12-01T3:25,29
CA21101008-02,Velocity,m/s,Good,2021-12-01T3:25,1
CA21101009-03,Humidity,%,Good,2021-12-01T3:25,74
CA21101009-03,Velocity,m/s,Good,2021-12-01T3:25,1
CA21101009-03,Temperature,oC,Good,2021-12-01T3:25,25
CA21101010-04,Velocity,m/s,Good,2021-12-01T3:25,0
CA21101010-04,Light,Lux,Good,2021-12-01T3:25,454
CA21101009-03,pH,pH,Good,2021-12-01T3:25,5
CA21101011-05,Temperature,oC,Good,2021-12-01T3:25,27
CA21101010-04,TVOC,ppm,Good,2021-12-01T3:25,49
CA21101010-04,pH,pH,Good,2021-12-01T3:25,6
